,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/04/01,17899482,438584753,24.49,24.58,24.41,24.52,0.03,7768
1,109/04/06,23678372,584802556,24.9,24.92,24.5,24.84,0.32,11016
2,109/04/07,31620054,796882951,25.12,25.29,25.12,25.22,0.38,13470
3,109/04/08,41028247,1047972797,25.22,25.78,25.13,25.77,0.55,15646
4,109/04/09,33849421,871980508,25.85,26.0,25.57,25.65,-0.12,15058
5,109/04/10,12990586,333728278,25.65,25.75,25.6,25.73,0.08,6274
6,109/04/13,16402804,421335596,25.73,25.77,25.51,25.68,-0.05,7941
7,109/04/14,22847925,593001342,25.7,26.05,25.7,26.05,0.37,10295
8,109/04/15,38186993,1007222642,26.2,26.48,26.19,26.47,0.42,15089
9,109/04/16,20328897,536213250,26.4,26.48,26.15,26.44,-0.03,9896
10,109/04/17,39596947,1057549748,26.8,27.0,26.44,26.5,0.06,17204
11,109/04/20,17055801,452141733,26.5,26.61,26.38,26.6,0.1,7262
12,109/04/21,34554572,906642548,26.45,26.59,26.06,26.1,-0.5,17167
13,109/04/22,20875507,540502965,25.9,26.24,25.6,26.23,0.13,10124
14,109/04/23,15977250,421616886,26.31,26.52,26.25,26.34,0.11,5929
