,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/02/03,45081773,1232880005,27.42,27.75,26.85,27.74,-0.18,17485
1,109/02/04,15739871,439889462,27.83,28.12,27.71,28.12,0.38,6763
2,109/02/05,13922740,391204283,28.24,28.25,28.0,28.08,-0.04,6806
3,109/02/06,15996571,452572008,28.35,28.44,28.18,28.44,0.36,7146
4,109/02/07,12253406,346368784,28.38,28.38,28.2,28.23,-0.21,4707
5,109/02/10,18717739,525106924,28.0,28.23,27.8,28.14,-0.09,6607
6,109/02/11,7079932,200297926,28.2,28.34,28.2,28.34,0.2,2852
7,109/02/12,12239828,348673622,28.36,28.57,28.36,28.56,0.22,4730
8,109/02/13,14950526,428962352,28.6,28.79,28.6,28.64,0.08,5060
9,109/02/14,9659751,277668138,28.64,28.82,28.63,28.79,0.15,3706
10,109/02/17,14439906,415271621,28.78,28.87,28.6,28.8,0.01,5859
11,109/02/18,12272396,353717841,28.77,28.92,28.74,28.8,0.0,5901
12,109/02/19,11357954,328195776,28.8,28.99,28.78,28.96,0.16,4082
13,109/02/20,8809420,255117539,29.0,29.06,28.87,28.93,-0.03,3915
14,109/02/21,5864280,169385080,28.91,28.99,28.85,28.9,-0.03,2927
15,109/02/24,14095127,404040210,28.77,28.77,28.59,28.7,-0.2,6607
16,109/02/25,11318028,323203381,28.45,28.7,28.36,28.67,-0.03,5321
17,109/02/26,34883285,991135939,28.5,28.55,28.3,28.3,-0.37,12847
18,109/02/27,56537310,1582527980,28.3,28.39,27.83,27.9,-0.4,24605
